country,location,name,code
Kazakhstan,Almaty,Almaty International Airport,ALA
Kazakhstan,Atyrau,Atyrau Airport,GUW
Kazakhstan,Karaganda,Karaganda Airport,KGF
Kazakhstan,Kostanay,Kostanay Airport,KSN
Kazakhstan,Nur-Sultan,Nursultan Nazarbayev International Airport,TSE
Kazakhstan,Shymkent,Shymkent Airport,CIT
Kazakhstan,Oral,Oral Ak Zhol Airport,URA
Kyrgyzstan,Bishkek,Manas Airport,FRU
Kyrgyzstan,Osh,Osh Airport,OSS
Tajikistan,Dushanbe,Dushanbe Airport,DYU
Tajikistan,Khujand,Khujand Airport,LBD
Turkmenistan,Ashgabat,Ashgabat Airport,ASB
Turkmenistan,Mary,Mary International Airport,MYP
Turkmenistan,Turkmenbashi,Turkmenbashi International Airport,KRW
Uzbekistan,Namangan,Namangan Airport,NMA
Uzbekistan,Tashkent,Tashkent International Airport,TAS
North Korea,Pyongyang,Pyongyang International Airport,FNJ
Japan,Akita,Akita Airport,AXT
Japan,Aomori,Aomori Airport,AOJ
Japan,Fukuoka,Fukuoka Airport,FUK
Japan,Hakodate,Hakodate Airport,HKD
Japan,Kagoshima,Kagoshima Airport,KOJ
Japan,Komatsu,Komatsu Airport,KMQ
Japan,Hiroshima,Hiroshima Airport,HIJ
Japan,Kitakyushu,New Kitakyushu Airport,KKJ
Japan,Nagasaki,Nagasaki Airport,NGS
Japan,Naha,Naha Airport,OKA
Japan,Nagoya,Chubu Centrair International Airport,NGO
Japan,Niigata,Niigata Airport,KIJ
Japan,Oita,Oita Airport,OIT
Japan,Okayama,Okayama Airport,OKJ
Japan,Osaka,Kansai International Airport,KIX
Japan,Sapporo,New Chitose Airport,CTS
Japan,Sendai,Sendai Airport,SDJ
Japan,Shizuoka,Shizuoka Airport,FSZ
Japan,Tokyo/Yokohama,Haneda International Airport,HND
Japan,Tokyo/Chiba,Narita International Airport,NRT
Mongolia,Ulan Bator,Chinggis Khaan International Airport,ULN
China,Beihai,Beihai Fucheng Airport,BHY
China,Beijing,Beijing Capital International Airport,PEK
China,Beijing,Beijing Daxing International Airport,PKX
China,Changchun,Changchun Longjia International Airport,CGQ
China,Changsha,Changsha Huanghua International Airport,CSX
China,Changzhou,Changzhou Benniu Airport,CZX
China,Chengdu,Chengdu Shuangliu International Airport,CTU
China,Chongqing,Chongqing Jiangbei International Airport,CKG
China,Dandong,Dandong Langtou Airport,DDG
China,Dalian,Dalian Zhoushuizi International Airport,DLC
China,Dunhuang,Dunhuang Airport,DNH
China,Fuzhou,Fuzhou Changle International Airport,FOC
China,Guangzhou,Guangzhou Baiyun International Airport,CAN
China,Guilin,Guilin Liangjiang International Airport,KWL
China,Guiyang,Guiyang Longdongbao Airport,KWE
China,Haikou,Haikou Meilan International Airport,HAK
China,Hangzhou,Hangzhou Xiaoshan International Airport,HGH
China,Harbin,Harbin Taiping International Airport,HRB
China,Hefei,Hefei Xinqiao International Airport,HFE
China,Huizhou,Huizhou Pingtan Airport,HUZ
China,Jieyang,Jieyang Chaoshan International Airport,SWA
China,Jinan,Jinan Yaoqiang International Airport,TNA
China,Kunming,Kunming Changshui International Airport,KMG
China,Lanzhou,Lanzhou Zhongchuan International Airport,LHW
China,Lhasa,Lhasa Gonggar Airport,LXA
China,Liuzhou,Liuzhou Bailian Airport,LZH
China,Luoyang,Luoyang Beijiao Airport,LYA
China,Mianyang,Mianyang Nanjiao Airport,MIG
China,Mudanjiang,Mudanjiang Airport,MDG
China,Nanchang,Nanchang Changbei International Airport,KHN
China,Nanjing,Nanjing Lukou International Airport,NKG
China,Nanning,Nanning Wuxu International Airport,NNG
China,Nantong,Nantong Xingdong Airport,NTG
China,Ningbo,Ningbo Lishe International Airport,NGB
China,Qingdao,Qingdao liuting International Airport,TAO
China,Quanzhou,Quanzhou Jinjiang International Airport,JJN
China,Sanya,Sanya Phoenix International Airport,SYX
China,Shanghai,Shanghai Hongqiao International Airport,SHA
China,Shanghai,Shanghai Pudong International Airport,PVG
China,Shenyang,Shenyang Taoxian International Airport,SHE
China,Shenzhen,Shenzhen Bao'an International Airport,SZX
China,Shijiazhuang,Shijiazhuang Zhengding International Airport,SJW
China,Wuxi,Sunan Shuofang International Airport,WUX
China,Taiyuan,Taiyuan Wusu International Airport,TYN
China,Tianjin,Tianjin Binhai International Airport,TSN
China,Tianshui,Tianshui Airport,THQ
China,Ürümqi,Ürümqi Diwopu International Airport,URC
China,Weihai,Weihai International Airport,WEH
China,Wenzhou,Wenzhou Yongqiang Airport,WNZ
China,Wuhan,Wuhan Tianhe International Airport,WUH
China,Xiamen,Xiamen Gaoqi International Airport,XMN
China,Xi'an,Xi'an Xianyang International Airport,XIY
China,Xiangyang,Xiangyang Airport,XFN
China,Xining,Xining Caojiabao Airport,XNN
China,Xichang,Xichang Qingshan Airport,XIC
China,Xuzhou,Xuzhou Guanyin Airport,XUZ
China,Yancheng,Yancheng Nanyang Airport,YNZ
China,Yanji,Yanji Airport,YNJ
China,Yantai,Yantai Penglai International Airport,YNT
China,Yinchuan,Yinchuan Hedong International Airport,INC
China,Zhangjiajie,Zhangjiajie Hehua Airport,DYG
China,Zhangye,Zhangye Ganzhou Airport,YZY
China,Zhengzhou,Zhengzhou Xinzheng International Airport,CGO
China,Zhoushan,Zhoushan Putuoshan Airport,HSN
China,Zhuhai,Zhuhai Jinwan Airport,ZUH
Hong Kong,Hong Kong,Hong Kong International Airport,HKG
Macau,Macau,Macau International Airport,MFM
Taiwan,Kaohsiung,Kaohsiung International Airport,KHH
Taiwan,Taichung,Taichung International Airport,RMQ
Taiwan,Taipei,Taipei Songshan Airport,TSA
Taiwan,Taoyuan,Taoyuan International Airport,TPE
South Korea,Busan,Gimhae International Airport,PUS
South Korea,Daegu,Daegu Airport,TAE
South Korea,Jeju,Jeju International Airport,CJU
South Korea,Seoul,Gimpo International Airport,GMP
South Korea,Incheon,Incheon International Airport,ICN
South Korea,Cheongju,Cheongju International Airport,CJJ
South Korea,Muan,Muan International Airport,MWX
South Korea,Yangyang,Yangyang International Airport,YNY
Bangladesh,Chittagong,Shah Amanat International Airport,CGP
Bangladesh,Dhaka,Hazrat Shahjalal International Airport,DAC
Bangladesh,Sylhet,Osmani International Airport,ZYL
Bhutan,Paro,Paro Airport,PBH
India,Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD
India,Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ
India,Bangalore,Kempegowda International Airport,BLR
India,Bhopal,Raja Bhoj International Airport,BHO
India,Bhubaneswar,Biju Patnaik International Airport,BBI
India,Chandigarh,Chandigarh International Airport,IXC
India,Chennai,Chennai International Airport,MAA
India,Cochin,Cochin International Airport,COK
India,Coimbatore,Coimbatore International Airport,CJB
India,Delhi,Indira Gandhi International Airport,DEL
India,Goa,Goa International Airport,GOI
India,Gaya,Gaya International Airport,GAY
India,Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU
India,Hyderabad,Rajiv Gandhi International Airport,HYD
India,Imphal,Imphal International Airport,IMF
India,Indore,Devi Ahilya Bai Holkar International Airport,IDR
India,Jaipur,Jaipur International Airport,JAI
India,Kannur,Kannur International Airport,CNN
India,Kolkata,Netaji Subhash Chandra Bose International Airport,CCU
India,Kozhikode,Calicut International Airport,CCJ
India,Lucknow,Chaudhary Charan Singh International Airport,LKO
India,Madurai,Madurai International Airport,IXM
India,Mangalore,Mangalore International Airport,IXE
India,Mumbai,Chhatrapati Shivaji International Airport,BOM
India,Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG
India,Kanpur,Captain Lakshmi Sehgal International Airport,KPR
India,Port Blair,Veer Savarkar International Airport,IXZ
India,Patna,Jay Prakash Narayan International Airport,PAT
India,Pune,Pune International Airport,PNQ
India,Raipur,Swami Vivekananda Airport,RPR
India,Ranchi,Birsa Munda International Airport,IXR
India,Siliguri,Bagdogra International Airport,IXB
India,Srinagar,Srinagar Airport,SXR
India,Surat,Surat International Airport,STV
India,Trichy,Tiruchirappalli International Airport,TRZ
India,Tirupati,Tirupati Airport,TIR
India,Trivandrum,Trivandrum International Airport,TRV
India,Vadodara,Vadodara International Airport,BDQ
India,Varanasi,Lal Bahadur Shastri International Airport,VNS
India,Vijayawada,Vijayawada International Airport,VGA
India,Visakhapatnam,Visakhapatnam Airport,VTZ
Maldives,Hulhule Island,Velana International Airport,MLE
Maldives,Addu City,Gan International Airport,GAN
Nepal,Kathmandu,Tribhuvan International Airport,KTM
Nepal,Siddharthanagar,Gautam Buddha Airport,BWA
Pakistan,Bahawalpur,Bahawalpur Airport,BHV
Pakistan,Bannu,Bannu Airport,BNP
Pakistan,Chitral,Chitral Airport,CJL
Pakistan,Dera Ghazi Khan,Dera Ghazi Khan International Airport,DEA
Pakistan,Dera Ismail Khan,Dera Ismail Khan Airport,DSK
Pakistan,Faisalabad,Faisalabad International Airport,LYP
Pakistan,Gilgit,Gilgit Airport,GIL
Pakistan,Gwadar,Gwadar International Airport,GWD
Pakistan,Islamabad,Islamabad International Airport,ISB
Pakistan,Karachi,Jinnah International Airport,KHI
Pakistan,Lahore,Allama Iqbal International Airport,LHE
Pakistan,Multan,Multan International Airport,MUX
Pakistan,Peshawar,Bacha Khan International Airport,PEW
Pakistan,Quetta,Quetta International Airport,UET
Pakistan,Rahim Yar Khan,Shaikh Zayed International Airport,RYK
Pakistan,Saidu Sharif,Saidu Sharif Airport,SDT
Pakistan,Sialkot,Sialkot International Airport,SKT
Pakistan,Skardu,Skardu Airport,KDU
Pakistan,Turbat,Turbat International Airport,TUK
Sri Lanka,Colombo,Bandaranaike International Airport,CMB
Sri Lanka,Hambantota,Mattala Rajapaksa International Airport,HRI
Sri Lanka,Colombo,Ratmalana International Airport,RML
Sri Lanka,Jaffna,Jaffna International Airport,JAF
Brunei,Bandar Seri Begawan,Brunei International Airport,BWN
Cambodia,Phnom Penh,Phnom Penh International Airport,PNH
Cambodia,Siem Reap,Siem Reap International Airport,REP
Cambodia,Sihanoukville,Sihanouk International Airport,KOS
East Timor,Dili,Presidente Nicolau Lobato International Airport,DIL
Indonesia,Makassar,Hasanuddin International Airport,UPG
Indonesia,Manado,Sam Ratulangi International Airport,MDC
Indonesia,Mataram,Lombok International Airport,LOP
Indonesia,Medan,Kuala Namu International Airport,KNO
Indonesia,Padang,Minangkabau International Airport,PDG
Indonesia,Palembang,Sultan Mahmud Badaruddin II Airport,PLM
Indonesia,Pekanbaru,Sultan Syarif Qasim II International Airport,PKU
Indonesia,Samarinda,Samarinda International Airport,SRI
Indonesia,Semarang,Achmad Yani International Airport,SRG
Indonesia,Surabaya,Juanda International Airport,SUB
Indonesia,Solo,Adisumarmo International Airport,SOC
Indonesia,Yogyakarta,Adisucipto International Airport,JOG
Indonesia,Jakarta,Soekarno Hatta International Airport,CGK
Indonesia,Jakarta,Halim Perdanakusuma International Airport,HLP
Indonesia,Denpasar,Ngurah Rai International Airport,DPS
Indonesia,Bandung,Husein Sastranegara International Airport,BDO
Indonesia,Balikpapan,Sultan Aji Muhammad Sulaiman Airport,BPN
Indonesia,Ambon,Pattimura Airport,AMQ
Indonesia,Palangkaraya,Tjilik Riwut Airport,PKY
Indonesia,Jayapura,Sentani Airport,DJJ
Indonesia,Banjarmasin,Syamsudin Noor Airport,BDJ
Indonesia,Kupang,El Tari Airport,KOE
Indonesia,Palu,Mutiara Airport,PLW
Indonesia,Kendari,Haluoleo Airport,KDI
Laos,Luang Prabang,Luang Prabang International Airport,LPQ
Laos,Pakse,Pakse International Airport,PKZ
Laos,Vientiane,Wattay International Airport,VTE
Malaysia,Ipoh,Sultan Azlan Shah Airport,IPH
Malaysia,Johor Bahru,Senai International Airport,JHB
Malaysia,Kota Bharu,Sultan Ismail Petra Airport,KBR
Malaysia,Kota Kinabalu,Kota Kinabalu International Airport,BKI
Malaysia,Kuala Lumpur/Sepang,Kuala Lumpur International Airport,KUL
Malaysia,Kuching,Kuching International Airport,KCH
Malaysia,Langkawi,Langkawi International Airport,LGK
Malaysia,Penang,Penang International Airport,PEN
Malaysia,Subang,Sultan Abdul Aziz Shah Airport,SZB
Myanmar (Burma),Mandalay,Mandalay International Airport,MDL
Myanmar (Burma),Yangon,Yangon International Airport,RGN
Myanmar (Burma),Naypyidaw,Naypyidaw International Airport,NYT
Philippines,Cagayan Special Economic Zone,Cagayan North International Airport,LLC
Philippines,Lapu-Lapu,Mactan–Cebu International Airport,CEB
Philippines,Angeles,Clark International Airport,CRK
Philippines,Davao City,Francisco Bangoy International Airport,DVO
Philippines,General Santos,General Santos International Airport,GES
Philippines,Iloilo City,Iloilo International Airport,ILO
Philippines,Kalibo,Kalibo International Airport,KLO
Philippines,Laoag,Laoag International Airport,LAO
Philippines,Manila,Ninoy Aquino International Airport,MNL
Philippines,Panglao Island,Bohol–Panglao International Airport,TAG
Philippines,Puerto Princesa,Puerto Princesa International Airport,PPS
Philippines,Olongapo,Subic Bay International Airport,SFS
Philippines,Zamboanga City,Zamboanga International Airport,ZAM
Singapore,Singapore,Singapore Changi Airport,SIN
Thailand,Bangkok/Samut Prakan,Suvarnabhumi Airport,BKK
Thailand,Bangkok,Don Mueang International Airport,DMK
Thailand,Chiang Mai,Chiang Mai International Airport,CNX
Thailand,Chiang Rai,Mae Fah Luang International Airport,CEI
Thailand,Rayong/Pattaya,U-Tapao International Airport,UTP
Thailand,Hat Yai,Hat Yai International Airport,HDY
Thailand,Krabi,Krabi International Airport,KBV
Thailand,Phuket,Phuket International Airport,HKT
Thailand,Surat Thani,Surat Thani Airport,URT
Thailand,Ko Samui,Samui Airport,USM
Thailand,Udon Thani,Udon Thani International Airport,UTH
Vietnam,Da Nang,Da Nang International Airport,DAD
Vietnam,Hanoi,Noi Bai International Airport,HAN
Vietnam,Ho Chi Minh City,Tan Son Nhat International Airport,SGN
Vietnam,Can Tho,Can Tho International Airport,VCA
Vietnam,Haiphong,Cat Bi International Airport,HPH
Vietnam,Huế,Phu Bai International Airport,HUI
Vietnam,Phu Quoc,Phu Quoc International Airport,PQC
Vietnam,Nha Trang,Cam Ranh International Airport,CXR
Vietnam,Quảng Nam,Chu Lai International Airport,VCL
Afghanistan,Kabul,Hamid Karzai International Airport,KBL
Afghanistan,Herat,Herat International Airport,HEA
Afghanistan,Kandahar,Kandahar International Airport,KDH
Afghanistan,Mazar-i-Sharif,Mazar-e Sharif International Airport,MZR
Bahrain,Manama,Bahrain International Airport,BAH
Iran,Bandar Abbas,Bandar Abbas International Airport,BND
Iran,Birjand,Birjand International Airport,XBJ
Iran,Isfahan,Isfahan International Airport,IFN
Iran,Kish Island,Kish Airport,KIH
Iran,Mashhad,Mashhad International Airport,MHD
Iran,Qeshm,Dayrestan Airport,GSM
Iran,Shiraz,Shiraz International Airport,SYZ
Iran,Tabriz,Tabriz International Airport,TBZ
Iran,Tehran,Mehrabad International Airport,THR
Iran,Tehran,Tehran Imam Khomeini International Airport,IKA
Iraq,Al Najaf,Al Najaf International Airport,NJF
Iraq,Baghdad,Baghdad International Airport,BGW
Iraq,Basra,Basra International Airport,BSR
Iraq,Erbil,Erbil International Airport,EBL
Iraq,Mosul,Mosul International Airport,OSM
Iraq,Sulaymaniyah,Sulaimaniyah International Airport,ISU
Israel,Eilat,Ramon Airport,ETM
Israel,Haifa,Haifa Airport,HFA
Israel,Tel Aviv,Ben Gurion Airport,TLV
Jordan,Aqaba,King Hussein International Airport,AQJ
Jordan,Amman,Queen Alia International Airport,AMM
Jordan,Amman,Amman Civil Airport,ADJ
Kuwait,Kuwait City,Kuwait International Airport,KWI
Lebanon,Beirut,Beirut Rafic Hariri International Airport,BEY
Oman,Muscat,Muscat International Airport,MCT
Oman,Salalah,Salalah International Airport,SLL
Qatar,Doha,Hamad International Airport,DOH
Saudi Arabia,Dammam,King Fahd International Airport,DMM
Saudi Arabia,Jeddah,King Abdulaziz International Airport,JED
Saudi Arabia,Medina,Prince Mohammad Bin Abdulaziz International Airport,MED
Saudi Arabia,Riyadh,King Khalid International Airport,RUH
Syria,Aleppo,Aleppo International Airport,ALP
Syria,Damascus,Damascus International Airport,DAM
Syria,Latakia,Bassel Al-Assad International Airport,LTK
United Arab Emirates,Abu Dhabi,Abu Dhabi International Airport,AUH
United Arab Emirates,Al Ain,Al Ain International Airport,AAN
United Arab Emirates,Dubai,Al-Maktoum International Airport,DWC
United Arab Emirates,Dubai,Dubai International Airport,DXB
United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah International Airport,RKT
United Arab Emirates,Sharjah,Sharjah International Airport,SHJ
Yemen,Aden,Aden International Airport,ADE
Yemen,Sana'a,Sana'a International Airport,SAH
Yemen,Seiyun,Seiyun Airport,GXF
Belgium,Antwerp,Antwerp International Airport,ANR
Belgium,Brussels,Brussels Airport,BRU
Belgium,Brussels/Charleroi,Brussels South Charleroi Airport,CRL
Belgium,Liège,Liège Airport,LGG
Belgium,Ostend/Bruges,Ostend-Bruges International Airport,OST
Belgium,Ajaccio,Campo dell'Oro Airport,AJA
Belgium,Bastia,Poretta Airport,BIA
Belgium,Beauvais,Beauvais-Tillé Airport,BVA
Belgium,Bergerac,Bergerac-Roumanière Airport,EGC
Belgium,Béziers,Béziers Cap d'Agde Airport,BZR
Belgium,Biarritz,Biarritz Airport,BIQ
Belgium,Bordeaux,Mérignac Airport,BOD
Belgium,Brest,Brest Bretagne Airport,BES
Belgium,Carcassonne,Salvaza Airport,CCF
Belgium,Châlons-en-Champagne,Châlons Vatry Airport,XCR
Belgium,Chambéry,Chambéry-Savoie Airport,CMF
Belgium,Dinard,Pleurtuit Airport,DNR
Belgium,Figari,Figari Sud-Corse Airport,FSC
Belgium,Grenoble,Grenoble-Isère Airport,GNB
Belgium,Ile de Re,Île de Ré Airport,LRH
Belgium,Lille,Lille Lesquin Airport,LIL
Belgium,Limoges,Bellegarde Airport,LIG
Belgium,Lyon,Saint-Exupéry Airport,LYS
Belgium,Marseille,Provence Airport,MRS
Belgium,Mulhouse,Basel-Mulhouse-Freiburg Airport,BSL
Belgium,Nantes,Nantes Atlantique Airport,NTE
Belgium,Nice,Côte d'Azur Airport,NCE
Belgium,Nîmes,Garons Airport,FNI
Belgium,Paris,Charles de Gaulle Airport,CDG
Belgium,Paris,Orly Airport,ORY
Belgium,Pau,Uzein Airport,PUF
Belgium,Perpignan,Llabanère Airport,PGF
Belgium,Poitiers,Biard Airport,PIS
Belgium,Rodez,Marcillac Airport,RDZ
Belgium,Saint Etienne,Bouthéon Airport,EBU
Belgium,Strasbourg,Strasbourg Airport,SXB
Belgium,Toulon,Hyères Le Palyvestre Airport,TLN
Belgium,Toulouse,Blagnac Airport,TLS
Belgium,Tours,Tours Loire Valley Airport,TUF
Belgium,Gibraltar,North Front Airport,GIB
Belgium,Alderney,Alderney Airport,ACI
Belgium,Guernsey,Guernsey Airport,GCI
Belgium,Jersey,Jersey Airport,JER
Belgium,Cork,Cork Airport,ORK
Belgium,Dublin,Dublin Airport,DUB
Belgium,Kerry,Kerry Airport,KIR
Belgium,Knock,Ireland West Airport Knock,NOC
Belgium,Shannon,Shannon Airport,SNN
Belgium,Isle of Man,Isle of Man Airport,IOM
Belgium,Luxembourg City,Findel Airport,LUX
Belgium,Amsterdam,Amsterdam Airport Schiphol,AMS
Belgium,Eindhoven,Eindhoven Airport,EIN
Belgium,Groningen,Groningen Airport Eelde,GRQ
Belgium,Maastricht,Maastricht-Aachen Airport,MST
Belgium,Rotterdam,Rotterdam The Hague Airport,RTM
Belgium,Beja,Beja Airport,BYJ
Belgium,Faro,Faro Airport,FAO
Belgium,Funchal,Madeira Airport,FNC
Belgium,Porto Santo Island,Porto Santo Airport,PXO
Belgium,Lisbon,Humberto Delgado Airport,LIS
Belgium,Porto,Francisco Sá Carneiro Airport,OPO
Belgium,Ponta Delgada,João Paulo II Airport,PDL
Belgium,Terceira Island,Terceira Airport,TER
Belgium,A Coruña,Alvedro Airport,LCG
Belgium,Alicante,Alicante Airport,ALC
Belgium,Almeria,Almería International Airport,LEI
Belgium,Asturias,Asturias Airport,OVD
Belgium,Barcelona,Barcelona Airport,BCN
Belgium,Bilbao,Bilbao Airport,BIO
Belgium,Castellón de la Plana,Castellón–Costa Azahar Airport,CDT
Belgium,Fuerteventura,Fuerteventura Airport,FUE
Belgium,Girona,Girona-Costa Brava Airport,GRO
Belgium,Gran Canaria,Gran Canaria Airport,LPA
Belgium,Granada,Federico García Lorca Granada Airport,GRX
Belgium,Huesca,Huesca-Pirineos Airport,HSK
Belgium,Ibiza,Ibiza Airport,IBZ
Belgium,Jerez de la Frontera,Jerez Airport,XRY
Belgium,La Palma,La Palma Airport,SPC
Belgium,Lanzarote,Lanzarote Airport,ACE
Belgium,Lleida,Alguaire Airport,ILD
Belgium,Madrid,Madrid-Barajas Airport,MAD
Belgium,Málaga,Málaga Airport,AGP
Belgium,Menorca,Menorca Airport,MAH
Belgium,Murcia,Región de Murcia International Airport,RMU
Belgium,Palma de Mallorca,Palma de Mallorca Airport,PMI
Belgium,Pamplona,Pamplona Airport,PNA
Belgium,Reus,Reus Airport,REU
Belgium,Santander,Santander Airport,SDR
Belgium,Santiago de Compostela,Santiago de Compostela Airport,SCQ
Belgium,Seville,Seville Airport,SVQ
Belgium,Tenerife,Tenerife North Airport,TFN
Belgium,Tenerife,Tenerife South Airport,TFS
Belgium,Valencia,Valencia Airport,VLC
Belgium,Valladolid,Valladolid Airport,VLL
Belgium,Vigo,Vigo–Peinador Airport,VGO
Belgium,Vitoria-Gasteiz,Vitoria Airport,VIT
Belgium,Zaragoza,Zaragoza Airport,ZAZ
Austria,Graz,Graz Airport,GRZ
Austria,Klagenfurt,Klagenfurt Airport,KLU
Austria,Innsbruck,Innsbruck Airport,INN
Austria,Linz,Linz Airport,LNZ
Austria,Salzburg,Salzburg Airport,SZG
Austria,Vienna,Vienna International Airport,VIE
Austria,Brno,Brno-Tuřany Airport,BRQ
Austria,Karlovy Vary,Karlovy Vary Airport,KLV
Austria,Ostrava,Leoš Janáček Ostrava Airport,OSR
Austria,Prague,Prague Václav Havel Airport,PRG
Austria,Pardubice,Pardubice Airport,PED
Austria,Baden-Baden/Karlsruhe,Karlsruhe/Baden-Baden Airport,FKB
Austria,Berlin,Berlin Tegel Airport,TXL
Austria,Berlin,Berlin Schönefeld Airport,SXF
Austria,Bremen,Bremen Airport,BRE
Austria,Cologne/Bonn,Cologne/Bonn Airport,CGN
Austria,Dortmund,Dortmund Airport,DTM
Austria,Düsseldorf,Düsseldorf Airport,DUS
Austria,Frankfurt,Frankfurt Airport,FRA
Austria,Frankfurt,Frankfurt-Hahn Airport,HHN
Austria,Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,MLH/BSL/EAP
Austria,Friedrichshafen,Friedrichshafen Airport,FDH
Austria,Hamburg,Hamburg Airport,HAM
Austria,Hanover,Langenhagen Airport,HAJ
Austria,Leipzig,Leipzig/Halle Airport,LEJ
Austria,Lübeck,Lübeck Airport,LBC
Austria,Memmingen,Memmingen Airport,FMM
Austria,Munich,Munich Airport,MUC
Austria,Nuremberg,Albrecht Dürer Airport,NUE
Austria,Stuttgart,Stuttgart Airport,STR
Austria,Weeze,Weeze Airport,NRN
Austria,Budapest,Budapest Ferenc Liszt International Airport,BUD
Austria,Debrecen,Debrecen International Airport,DEB
Austria,Hévíz,Hévíz-Balaton Airport,SOB
Austria,Győr,Győr-Pér International Airport,QGY
Austria,Pécs,Pécs-Pogány International Airport,QPJ
Austria,Bratislava,M. R. Štefánik Airport,BTS
Austria,Košice,Košice International Airport,KSC
Austria,Piešťany,Piešťany Airport,PZY
Austria,Poprad,Poprad-Tatry Airport,TAT
Austria,Sliač,Sliač Airport,SLD
Austria,Žilina,Žilina Airport,ILZ
Austria,Basel,EuroAirport Basel–Mulhouse–Freiburg,BSL
Austria,Bern,Bern-Belp Airport,BRN
Austria,Geneva,Geneva International Airport,GVA
Austria,St. Gallen,St. Gallen-Altenrhein Airport,ACH
Austria,Zurich,Zurich Airport,ZRH
Austria,Bydgoszcz,Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Austria,Gdańsk,Gdańsk Lech Wałęsa Airport,GDN
Austria,Katowice,Katowice International Airport,KTW
Austria,Kraków,John Paul II International Airport Kraków-Balice,KRK
Austria,Lublin,Lublin Airport,LUZ
Austria,Łódź,Łódź Władysław Reymont Airport,LCJ
Austria,Poznań,Poznań Ławica Airport,POZ
Austria,Rzeszów,Rzeszów-Jasionka Airport,RZE
Austria,Szczecin,"Szczecin-Goleniów ""Solidarność"" Airport",SZZ
Austria,Warsaw,Frédéric Chopin Airport,WAW
Austria,Warsaw,Modlin Airport,WMI
Austria,Wrocław,Copernicus Airport Wrocław,WRO
Croatia,Dubrovnik,Dubrovnik Airport,DBV
Croatia,Zagreb,Franjo Tuđman Airport,ZAG
Croatia,Osijek,Osijek Airport,OSI
Croatia,Pula,Pula Airport,PUY
Croatia,Rijeka,Rijeka Airport,RJK
Croatia,Split,Split Airport,SPU
Croatia,Zadar,Zadar Airport,ZAD
Croatia,Larnaca,Larnaca International Airport,LCA
Croatia,Paphos,Paphos International Airport,PFO
Croatia,North Nicosia,Ercan International Airport,ECN
Croatia,Athens,Athens International Airport,ATH
Croatia,Chania,Chania International Airport,CHQ
Croatia,Chios Island,Chios Island National Airport,JKH
Croatia,Corfu,Ioannis Kapodistrias Airport,CFU
Croatia,Heraklion,Heraklion International Airport,HER
Croatia,Kalamata,Kalamata International Airport,KLX
Croatia,Karpathos Island,Karpathos Island National Airport,AOK
Croatia,Kavala,Kavala International Airport,KVA
Croatia,Kefalonia Island,Kefalonia Island International Airport,EFL
Croatia,Kos Island,Kos Island International Airport,KGS
Croatia,Mykonos Island,Mykonos Island National Airport,JMK
Croatia,Mytilene,Mytilene International Airport,MJT
Croatia,Preveza,Aktion National Airport,PVK
Croatia,Rhodes,Rhodes International Airport,RHO
Croatia,Samos,Samos International Airport,SMI
Croatia,Santorini,Santorini (Thira) National Airport,JTR
Croatia,Skiathos Island,Skiathos Island National Airport,JSI
Croatia,Skyros Island,Skyros Island National Airport,SKU
Croatia,Thessaloniki,Thessaloniki International Airport,SKG
Croatia,Volos,Nea Anchialos National Airport,VOL
Croatia,Zakynthos,Zakynthos International Airport,ZTH
Croatia,Alghero,Fertilia Airport,AHO
Croatia,Ancona,Ancona Airport,AOI
Croatia,Bari,Palese Airport,BRI
Croatia,Bergamo,Orio al Serio Airport,BGY
Croatia,Bologna,Bologna Airport,BLQ
Croatia,Brescia,Brescia Airport,VBS
Croatia,Brindisi,Brindisi Airport,BDS
Croatia,Cagliari,Cagliari Airport,CAG
Croatia,Catania,Fontanarossa Airport,CTA
Croatia,Cuneo,Cuneo Levaldigi Airport,CUF
Croatia,Florence,Peretola Airport,FLR
Croatia,Genoa,Cristoforo Colombo Airport,GOA
Croatia,Lamezia,Lamezia Terme Airport,SUF
Croatia,Milan,Linate Airport,LIN
Croatia,Milan,Malpensa Airport,MXP
Croatia,Naples,Capodichino Airport,NAP
Croatia,Olbia,Costa Smeralda Airport,OLB
Croatia,Palermo,Palermo Airport,PMO
Croatia,Parma,Giuseppe Verdi Airport,PMF
Croatia,Perugia,San Egidio Airport,PEG
Croatia,Pescara,Abruzzo Airport,PSR
Croatia,Pisa,Galileo Galilei Airport,PSA
Croatia,Rimini,Federico Fellini Airport,RMI
Croatia,Rome,Leonardo da Vinci-Fiumicino Airport,FCO
Croatia,Rome,Rome Ciampino Airport,CIA
Croatia,Trapani,Vincenzo Florio Airport,TPS
Croatia,Trieste,Friuli Venezia Giulia Airport,TRS
Croatia,Turin,Caselle Airport,TRN
Croatia,Venice,Venice Marco Polo Airport,VCE
Croatia,Verona,Verona Airport,VRN
Croatia,Ljubljana,Ljubljana Jože Pučnik Airport,LJU
