Code;Latitude;Longitude
BDS;40.6576;17.947
BEG;44.8184;20.3091
BEL;-1.3793;-48.4763
BEN;32.0968;20.2695
BES;48.4479;-4.4185
BEW;-19.7964;34.9076
BEY;33.8209;35.4884
BFS;54.6575;-6.2158
BGA;7.1265;-73.1848
BGF;4.3985;18.5188
BGI;13.0746;-59.4925
BGO;60.2934;5.2181
BGW;33.2625;44.2346
BGY;45.6739;9.7042
BHX;52.4539;-1.748
BIA;42.5527;9.4837
BIO;43.3011;-2.9106
BIQ;43.4684;-1.5233
BJA;36.712;5.0699
BJL;13.338;-16.6522
BJM;-3.324;29.3185
BJV;37.2506;27.6643
BJX;20.9935;-101.481
BKI;5.9372;116.051
BKK;13.6811;100.747
BKO;12.5335;-7.9499
BLJ;35.7521;6.3086
BLL;55.7403;9.1518
BLQ;44.5354;11.2887
BLR;13.1979;77.7063
BLZ;-15.6791;34.974
BMA;59.3544;17.9417
BNA;36.1245;-86.6782
BND;27.2183;56.3778
BNE;-27.3842;153.117
BNX;44.9414;17.2975
BOC;9.3408;-82.2508
BOD;44.8283;-0.7156
BOG;4.7016;-74.1469
BOH;50.78;-1.8425
BOJ;42.5696;27.5152
BOM;19.0887;72.8679
BON;12.131;-68.2685
BOO;67.2692;14.3653
BOS;42.3643;-71.0052
BOY;11.1601;-4.331
BPN;-1.2683;116.894
BQN;18.4949;-67.1294
BQS;50.4254;127.412
BRC;-41.1512;-71.1575
BRE;53.0475;8.7867
BRI;41.1389;16.7606
BRQ;49.1513;16.6944
BRS;51.3827;-2.7191
BRU;50.9014;4.4844
BSA;11.2753;49.1494
BSB;-15.8692;-47.9208
BSK;34.7933;5.7382
BSL;47.59;7.5292
BSR;30.5491;47.6621
BTK;56.3706;101.698
BTS;48.1702;17.2127
BUD;47.4369;19.2556
BUQ;-20.0174;28.6179
BUS;41.6103;41.5997
BVA;49.4544;2.1128
BVC;16.1365;-22.8889
BWI;39.1754;-76.6683
BWN;4.9442;114.928
BZE;17.5391;-88.3082
BZG;53.0968;17.9777
BZK;53.2142;34.1764
BZR;43.3235;3.3539
BZV;-4.2517;15.253
CAG;39.2515;9.0543
CAI;30.1219;31.4056
CAN;23.3924;113.299
CAP;19.733;-72.1947
CAY;4.8198;-52.3604
CBB;-17.4211;-66.1771
CBR;-35.3069;149.195
CCC;22.461;-78.3284
CCF;43.216;2.3063
CCJ;11.1368;75.9553
CCK;-12.1883;96.8339
CCP;-36.7727;-73.0631
CCS;10.6031;-66.9906
CCU;22.6547;88.4467
CDG;49.0128;2.55
CDT;40.2139;0.0733
CEB;10.3075;123.979
CEE;59.2736;38.0158
CEI;19.9523;99.8829
CEK;55.3058;61.5033
CFK;36.2127;1.3318
CFU;39.6019;19.9117
CGB;-15.6529;-56.1167
CGK;-6.1256;106.656
CGN;50.8659;7.1427
CGO;34.5197;113.841
CGP;22.2496;91.8133
CGQ;43.9962;125.685
CHC;-43.4894;172.532
CHQ;35.5317;24.1497
CHS;32.8986;-80.0405
CIA;41.7994;12.5949
CIT;42.3642;69.4789
CJB;11.03;77.0434
CJJ;36.7166;127.499
CJU;33.5113;126.493
CKG;29.7192;106.642
CKY;9.5769;-13.612
CLE;41.4117;-81.8498
CLJ;46.7852;23.6862
CLO;3.5432;-76.3816
CLT;35.214;-80.9431
CMF;45.6381;5.8802
CMH;39.998;-82.8919
CMN;33.3675;-7.59
CMW;21.4203;-77.8475
CND;44.3622;28.4883
CNF;-19.6244;-43.9719
CNN;12;75
CNS;-16.8858;145.755
CNX;18.7668;98.9626
COK;10.152;76.4019
COO;6.3572;2.3844
COR;-31.3236;-64.208
CPH;55.6179;12.656
CPT;-33.9648;18.6017
CRA;44.3181;23.8886
CRK;15.186;120.56
CRL;50.4592;4.4538
CSX;28.1892;113.22
CSY;56.0903;47.3473
CTA;37.4668;15.0664
CTG;10.4424;-75.513
CTS;42.7752;141.692
CTU;30.5785;103.947
CUF;44.547;7.6232
CUL;24.7645;-107.475
CUN;21.0365;-86.8771
CUR;12.1889;-68.9598
CUU;28.7029;-105.965
CUZ;-13.5357;-71.9388
CVG;39.0488;-84.6678
CWB;-25.5285;-49.1758
CWC;48.2593;25.9808
CWL;51.3967;-3.3433
CXI;1.9862;-157.35
CXR;11.9982;109.219
CYO;21.6165;-81.546
CZL;36.276;6.6204
CZM;20.5224;-86.9256
CZX;31.9197;119.779
DAC;23.8433;90.3978
DAD;16.0439;108.199
DAM;33.4115;36.5156
DAR;-6.8781;39.2026
DAV;8.391;-82.435
DBB;30.9245;28.4614
DBV;42.5614;18.2682
DCA;38.8521;-77.0377
DEB;47.4889;21.6153
DEL;28.5665;77.1031
DEN;39.8617;-104.673
DFW;32.8968;-97.038
DGO;24.1242;-104.528
DIE;-12.3494;49.2917
DIL;-8.5464;125.526
DIR;9.6247;41.8542
DJE;33.875;10.7755
DJJ;-2.577;140.516
DLA;4.0061;9.7195
DLC;38.9657;121.539
DLM;36.7131;28.7925
DME;55.4088;37.9063
DMK;13.9126;100.607
DMM;26.4712;49.7979
DNK;48.3572;35.1006
DNR;48.5877;-2.08
DOH;25.2731;51.6081
DOM;15.547;-61.3
DPS;-8.7482;115.167
DRW;-12.4147;130.877
DSA;53.4805;-1.0107
DTM;51.5183;7.6122
DTW;42.2124;-83.3534
DUB;53.4213;-6.2701
DUD;-45.9281;170.198
DUR;-29.6144;31.1197
DUS;51.2895;6.7668
DVO;7.1255;125.646
DWC;24.8964;55.1614
DXB;25.2528;55.3644
DYG;29.1028;110.443
DYR;64.7349;177.741
DYU;38.5433;68.825
DZA;-12.8047;45.2811
EBB;0.0424;32.4435
EBL;36.2376;43.9632
ECN;35.1547;33.4961
EDI;55.95;-3.3725
EFL;38.1201;20.5005
EGC;44.8253;0.5186
EGO;50.6438;36.5901
EIN;51.4501;5.3745
EIS;18.4448;-64.543
EMA;52.8311;-1.3281
ENU;6.4743;7.562
ESB;40.1281;32.9951
ESL;46.3739;44.3309
ESM;0.9785;-79.6266
ETM;29;35
EUN;27.1517;-13.2192
EUX;17.4965;-62.9794
EVN;40.1473;44.3959
EWR;40.6925;-74.1687
EXT;50.7344;-3.4139
EZE;-34.8222;-58.5358
FAE;62.0636;-7.2772
FAI;64.8151;-147.856
FAO;37.0144;-7.9659
FAT;36.7762;-119.718
FBM;-11.5913;27.5309
FCO;41.8045;12.2508
FDF;14.591;-61.0032
FDH;47.6713;9.5115
FEZ;33.9273;-4.978
FIH;-4.3857;15.4446
FKB;48.7794;8.0805
FKI;0.4816;25.338
FLL;26.0726;-80.1527
FLN;-27.6703;-48.5525
FLR;43.81;11.2051
FMM;47.9888;10.2395
FNA;8.6164;-13.1955
FNC;32.6979;-16.7745
FNI;43.7574;4.4163
FNJ;39.2241;125.67
FOC;25.9351;119.663
FOR;-3.7763;-38.5326
FPO;26.5587;-78.6956
FRA;50.0264;8.5431
FRS;16.9138;-89.8664
FRU;43.0613;74.4776
FSC;41.5006;9.0978
FSP;46.7629;-56.1731
FSZ;34.796;138.1878
FTU;-25.0381;46.9561
FUE;28.4527;-13.8638
FUK;33.5859;130.451
FUN;-8.525;179.196
GAN;-0.6933;73.1556
GAU;26.1061;91.5859
GAY;24.7443;84.9512
GBB;40.8267;47.7125
GBE;-24.5552;25.9182
GCI;49.435;-2.602
GCM;19.2928;-81.3577
GDL;20.5218;-103.311
GDN;54.3776;18.4662
GDX;59.911;150.72
GEO;6.4985;-58.2541
GGR;8.4579;48.5674
GGT;23.5626;-75.878
GIB;36.1512;-5.3497
GIG;-22.81;-43.2506
GJL;36.7951;5.8736
GLA;55.8719;-4.4331
GME;52.527;31.0167
GMP;37.5583;126.791
GNB;45.3629;5.3294
GND;12.0042;-61.7862
GOA;44.4133;8.8375
GOH;64.1909;-51.6781
GOI;15.3808;73.8314
GOJ;56.2301;43.784
GOM;-1.6708;29.2385
GOT;57.6628;12.2798
GRO;41.901;2.7606
GRQ;53.1197;6.5794
GRU;-23.4356;-46.4731
GRV;43.3883;45.6986
GRX;37.1887;-3.7774
GRZ;46.9911;15.4396
GSM;26.9487;56.2688
GUA;14.5833;-90.5275
GUM;13.4834;144.796
GUW;47.1219;51.8214
GVA;46.2381;6.109
GWD;25.2333;62.3295
GYD;40.4675;50.0467
GYE;-2.1574;-79.8836
GZT;36.9472;37.4787
HAH;-11.5337;43.2719
HAJ;52.4611;9.6851
HAK;19.9349;110.459
HAM;53.6304;9.9882
HAN;21.2212;105.807
HAU;59.3453;5.2084
HAV;22.9892;-82.4091
HBE;30.9177;29.6964
HDY;6.9332;100.393
HEA;34.21;62.2283
HEL;60.3172;24.9633
HER;35.3397;25.1803
HFE;31.78;117.298
HGA;9.5182;44.0888
HGH;30.2295;120.434
HHN;49.9487;7.2639
HIJ;34.4361;132.919
HIR;-9.428;160.055
HKD;41.77;140.822
HKG;22.3089;113.915
HKT;8.1132;98.3169
HLA;-25.9385;27.9261
HLE;16;5
HMB;26.3428;31.7428
HMO;29.0959;-111.048
HND;35.5523;139.78
HNL;21.3187;-157.922
HOG;20.7856;-76.3151
HOU;29.6454;-95.2789
HPH;20.8194;106.725
HRB;45.6234;126.25
HRE;-17.9318;31.0928
HRG;27.1783;33.7994
HRK;49.9248;36.29
HTA;52.0263;113.306
HUX;15.7753;-96.2626
HYD;17.2313;78.4299
IAD;38.9445;-77.4558
IAH;29.9844;-95.3414
IAR;57.5607;40.1574
IAS;47.1785;27.6206
IBZ;38.8729;1.3731
ICN;37.4691;126.451
IDR;22.7218;75.8011
IEV;50.4017;30.4497
IFN;32.7508;51.8613
IFO;48.8842;24.6861
IGR;-25.7373;-54.4734
IGU;-25.6003;-54.485
IKA;35.4161;51.1522
IKT;52.268;104.389
ILD;41.7282;0.535
ILO;10.833;122.4934
INC;38.4819;106.009
IND;39.7173;-86.2944
INI;43.3373;21.8537
INN;47.2602;11.344
INV;57.5425;-4.0475
IOM;54.0833;-4.6239
IPC;-27.1648;-109.422
IPH;4.568;101.092
ISB;33.6167;73.0992
IST;40.9769;28.8146
ISU;35.5617;45.3167
IUE;-19.079;-169.9256
IXB;26.6812;88.3286
IXC;30.6735;76.7885
IXE;12.9613;74.8901
IXM;9.8345;78.0934
JAI;26.8242;75.8122
JAV;69.2432;-51.0571
JED;21.6796;39.1565
JER;49.2079;-2.1955
JFK;40.6398;-73.7789
JHB;1.6413;103.67
JIB;11.5473;43.1595
JJN;24.7964;118.59
JKH;38.3432;26.1406
JMK;37.4351;25.3481
JNB;-26.1392;28.246
JNU;58.355;-134.576
JOG;-7.7882;110.432
JRO;-3.4294;37.0745
JSI;39.1771;23.5037
JTR;36.3992;25.4793
JUB;4.872;31.6011
KAN;12.0476;8.5246
KAO;65.9876;29.2394
KBL;34.5659;69.2123
KBP;50.345;30.8947
KBR;6.1669;102.293
KBV;8.0991;98.9862
KCH;1.4847;110.347
KDH;31.5058;65.8478
KEF;63.985;-22.6056
KGD;54.89;20.5926
KGF;49.6708;73.3344
KGL;-1.9686;30.1395
KGS;36.7933;27.0917
KHH;22.5771;120.35
KHI;24.9065;67.1608
KHN;28.865;115.9
KHV;48.528;135.188
KIH;26.5262;53.9802
KIJ;37.9559;139.121
KIN;17.9357;-76.7875
KIR;52.1809;-9.5238
KIV;46.9277;28.931
KIX;34.4273;135.244
KJA;56.1729;92.4933
KKJ;33.8459;131.035
KLO;11.6794;122.376
KLU;46.6425;14.3377
KLV;50.203;12.915
KLX;37.0683;22.0255
KMG;25.1019;102.9292
KMQ;36.3946;136.407
KNO;3.6422;98.8853
KOA;19.7388;-156.046
KOJ;31.8034;130.719
KOS;10.5797;103.637
KRK;50.0777;19.7848
KRR;45.0347;39.1705
KRS;58.2042;8.0854
KRT;15.5895;32.5532
KSA;5.357;162.958
KSC;48.6631;21.2411
KSN;53.2069;63.5503
KTM;27.6966;85.3591
KTT;67.701;24.8468
KTW;50.4743;19.08
KUF;53.5049;50.1643
KUL;2.7456;101.71
KUN;54.9639;24.0848
KUT;42.1767;42.4826
KVA;40.9133;24.6192
KVD;40.7377;46.3176
KVO;43;20
KWA;8.7201;167.732
KWE;26.5385;106.801
KWI;29.2266;47.9689
KWL;25.2181;110.039
KXK;50.409;136.934
KYA;37.979;32.5619
KZN;55.6062;49.2787
KZR;39.1122;30.13
LAD;-8.8584;13.2312
LAS;36.0801;-115.152
LAX;33.9425;-118.408
LBA;53.8659;-1.6606
LBC;53.8054;10.7192
LBD;40.2154;69.6947
LBV;0.4586;9.4123
LCA;34.8751;33.6249
LCE;15.7425;-86.853
LCG;43.3021;-8.3773
LCJ;51.7219;19.3981
LCY;51.5053;0.0553
LED;59.8003;30.2625
LEI;36.8439;-2.3701
LEJ;51.4324;12.2416
LFW;6.1656;1.2545
LGA;40.7772;-73.8726
LGG;50.6374;5.4432
LGK;6.3297;99.7287
LHE;31.5216;74.4036
LHR;51.4706;-0.4619
LHW;36.5152;103.62
LIG;45.8628;1.1794
LIL;50.5658;3.104
LIM;-12.0219;-77.1143
LIN;45.4451;9.2767
LIR;10.5933;-85.5444
LIS;38.7813;-9.1359
LJU;46.2237;14.4576
LKE;47;122
LKO;26.7606;80.8893
LLA;65.5438;22.122
LLK;38.7464;48.818
LLW;-13.7894;33.781
LNZ;48.2332;14.1875
LOP;-8.7573;116.2767
LOS;6.5774;3.3212
LPA;27.9319;-15.3866
LPB;-16.5133;-68.1923
LPL;53.3336;-2.8497
LPP;61.0446;28.1447
LPQ;19.8973;102.161
LRH;46.1792;-1.1953
LRM;18.4507;-68.9118
LTO;25.9892;-111.348
LUN;-15.3308;28.4526
LUX;49.6233;6.2044
LUZ;51.2403;22.7136
LVI;-17.8218;25.8227
LWN;40.7504;43.8593
LWO;49.8125;23.9561
LXA;29.2978;90.9119
LXR;25.671;32.7066
LYP;31.365;72.9948
LYS;45.7264;5.0908
MAA;12.99;80.1693
MAD;40.4936;-3.5668
MAH;39.8626;4.2186
MAJ;7.0648;171.272
MAN;53.3537;-2.275
MAO;-3.0386;-60.0497
MAR;10.5582;-71.7279
MBA;-4.0348;39.5942
MBJ;18.5037;-77.9134
MCI;39.2976;-94.7139
MCO;28.4294;-81.309
MCT;23.5933;58.2844
MCX;42.8168;47.6523
MCZ;-9.5108;-35.7917
MDC;1.5493;124.926
MDE;6.1645;-75.4231
MDG;44.5241;129.569
MDL;21.7022;95.9779
MDW;41.786;-87.7524
MDZ;-32.8317;-68.7929
MED;24.5534;39.7051
MEL;-37.6733;144.843
MEM;35.0424;-89.9767
MEX;19.4363;-99.0721
MFM;22.1496;113.592
MGA;12.1415;-86.1682
MGQ;2.0144;45.3047
MHD;36.2352;59.641
MHQ;60.1222;19.8982
MIA;25.7932;-80.2906
MID;20.937;-89.6577
MIR;35.7581;10.7547
MJI;32.8941;13.276
MJN;-15.6668;46.3512
MJT;39.0567;26.5983
MKE;42.9472;-87.8966
MLA;35.8575;14.4775
MLE;4.1918;73.5291
MLM;19.8499;-101.025
MLX;38.4353;38.091
MME;54.5092;-1.4294
MMK;68.7817;32.7508
MMX;55.5363;13.3762
MNI;16.7914;-62.1933
MNL;14.5086;121.02
MPM;-25.9208;32.5726
MPN;-51.8228;-58.4472
MQF;53.3931;58.7557
MQP;-25.3832;31.1056
MRS;43.4393;5.2214
MRU;-20.4302;57.6836
MRV;44.2251;43.0819
MSP;44.882;-93.2218
MSQ;53.8825;28.0307
MST;50.9117;5.7701
MSU;-29.4623;27.5525
MSY;29.9934;-90.258
MTY;25.7785;-100.107
MUB;-19.9726;23.4311
MUC;48.3538;11.7861
MUH;31.3254;27.2217
MUX;30.2032;71.4191
MVD;-34.8384;-56.0308
MWX;34.9914;126.3828
MXP;45.6306;8.7281
MYR;33.6797;-78.9283
MZR;36.7069;67.2097
MZT;23.1614;-106.266
NAG;21.0922;79.0472
NAJ;39.1888;45.4584
NAL;43.5129;43.6366
NAN;-17.7554;177.443
NAP;40.886;14.2908
NAS;25.039;-77.4662
NAT;-5.7681;-35.3761
NAV;38.7719;34.5345
NBC;55.5647;52.0925
NBE;36.0758;10.4386
NBO;-1.3192;36.9278
NCE;43.6584;7.2159
NCL;55.0375;-1.6917
NDB;20.9331;-17.03
NDJ;12.1337;15.034
NDR;34.9888;-3.0282
NGB;29.8267;121.462
NGO;34.8584;136.805
NGS;32.9169;129.914
NIM;13.4815;2.1836
NJC;60.9493;76.4836
NJF;31.9899;44.4043
NKC;18.0982;-15.9485
NKG;31.742;118.862
NLA;-12.9981;28.6649
NLK;-29.0416;167.939
NMA;40.9846;71.5567
NNG;22.6083;108.172
NOC;53.9103;-8.8185
NOS;-13.3121;48.3148
NOU;-22.0146;166.213
NOZ;53.8114;86.8772
NQY;50.4406;-4.9954
NRK;58.5863;16.2506
NRN;51.6024;6.1422
NRT;35.7647;140.386
NSI;3.7226;11.5533
NTE;47.1532;-1.6107
NTG;32.0708;120.976
NUE;49.4987;11.0669
NWI;52.6758;1.2828
NYO;58.7886;16.9122
NYT;19.6235;96.201
OAK;37.7213;-122.221
OAX;16.9999;-96.7266
ODS;46.4268;30.6765
OGZ;43.2051;44.6066
OHD;41.18;20.7423
OIT;33.4794;131.737
OKA;26.1958;127.646
OKJ;34.7569;133.855
OLB;40.8987;9.5176
OMO;43.2829;17.8459
OMR;47.0253;21.9025
OMS;54.967;73.3105
ONQ;41.5064;32.0886
ONT;34.056;-117.601
OOL;-28.1644;153.505
OPO;41.2481;-8.6814
ORD;41.9786;-87.9048
ORK;51.8413;-8.4911
ORN;35.6239;-0.6212
ORY;48.7253;2.3594
OSD;63.1944;14.5003
OSI;45.4627;18.8102
OSL;60.1939;11.1004
OSR;49.6963;18.1111
OSS;40.609;72.7933
OST;51.1989;2.8622
OSW;51.0725;58.5956
OTP;44.5722;26.1022
OUA;12.3532;-1.5124
OUD;34.7872;-1.924
OUL;64.9301;25.3546
OVB;55.0126;82.6507
OVD;43.5636;-6.0346
OXB;11.8948;-15.6537
OZH;47.867;35.3157
PAP;18.58;-72.2925
PBC;19.1581;-98.3714
PBH;27.4032;89.4246
PBI;26.6832;-80.0956
PBM;5.4528;-55.1878
PDG;-0.7869;100.281
PDL;37.7412;-25.6979
PDP;-34.8551;-55.0943
PDV;42.0678;24.8508
PDX;45.5887;-122.598
PED;50.0134;15.7386
PEE;57.9145;56.0212
PEG;43.0959;12.5132
PEI;4.8127;-75.7395
PEK;40.0801;116.585
PEN;5.2971;100.277
PER;-31.9403;115.967
PES;61.8852;34.1547
PEW;33.9939;71.5146
PFO;34.718;32.4857
PGF;42.7404;2.8707
PHC;5.0155;6.9496
PHE;-20.3778;118.626
PHL;39.8719;-75.2411
PHX;33.4343;-112.012
PIE;27.9102;-82.6874
PIS;46.5877;0.3067
PIT;40.4915;-80.2329
PKC;53.1679;158.454
PKU;0.4608;101.445
PKV;57.7839;28.3956
PKX;39;116
PKZ;15.1321;105.781
PLM;-2.8983;104.7
PLQ;55.9732;21.0939
PLS;21.7736;-72.2659
PLW;-0.9185;119.91
PMF;44.8245;10.2964
PMI;39.5517;2.7388
PMO;38.176;13.091
PNA;42.77;-1.6463
PNH;11.5466;104.844
PNI;6.9851;158.209
PNQ;18.5821;73.9197
PNR;-4.816;11.8866
POA;-29.9944;-51.1714
POG;-0.7117;8.7544
POL;-12.9918;40.524
POM;-9.4434;147.22
POP;19.7579;-70.57
POS;10.5954;-61.3372
POZ;52.421;16.8263
PPG;-14.331;-170.71
PPS;9.7421;118.759
PPT;-17.5537;-149.607
PQC;10.1698;103.9931
PRG;50.1008;14.26
PRN;42.5728;21.0358
PSA;43.6839;10.3927
PSP;33.8297;-116.507
PSR;42.4317;14.1811
PTP;16.2653;-61.5318
PTY;9.0714;-79.3835
PUF;43.38;-0.4186
PUJ;18.5674;-68.3634
PUQ;-53.0026;-70.8546
PUS;35.1795;128.938
PUY;44.8935;13.9222
PVD;41.7326;-71.4204
PVG;31.1434;121.805
PVK;38.9255;20.7653
PVR;20.6801;-105.254
PXO;33.0734;-16.35
PZU;19.4336;37.2341
QRO;20.6173;-100.186
QSF;36.1781;5.3245
RAI;14.9245;-23.4935
RAK;31.6069;-8.0363
RAR;-21.2027;-159.806
RBA;34.0515;-6.7515
RDU;35.8776;-78.7875
RDZ;44.4079;2.4827
REC;-8.1265;-34.9236
REN;51.7958;55.4567
REP;13.4107;103.813
RES;-27.45;-59.0561
REU;41.1474;1.1672
RGL;-51.6089;-69.3126
RGN;16.9073;96.1332
RHO;36.4054;28.0862
RIX;56.9236;23.9711
RJK;45.2169;14.5703
RKT;25.6135;55.9388
RKV;64.13;-21.9406
RMF;25.5571;34.5837
RMI;44.0203;12.6117
RMQ;24.2647;120.621
RMU;37.803;-1.125
RNO;39.4991;-119.768
ROB;6.2338;-10.3623
ROR;7.3677;134.544
ROV;47.2582;39.8181
RSW;26.5362;-81.7552
RTB;16.3168;-86.523
RTM;51.9569;4.4372
RUH;24.9576;46.6988
RUN;-20.8871;55.5103
RVN;66.5648;25.8304
RVY;-30.9746;-55.4762
RZE;50.11;22.019
SAB;17.645;-63.22
SAL;13.4409;-89.0557
SAN;32.7336;-117.19
SAP;15.4526;-87.9236
SAT;29.5337;-98.4698
SAV;32.1276;-81.2021
SAW;40.8986;29.3092
SBH;17.9044;-62.8436
SBZ;45.7856;24.0913
SCL;-33.393;-70.7858
SCO;43.8601;51.092
SCQ;42.8963;-8.4151
SCU;19.9698;-75.8354
SCW;61.647;50.8451
SDD;-14.9247;13.575
SDJ;38.1397;140.917
SDQ;18.4297;-69.6689
SDR;43.4271;-3.82
SEA;47.449;-122.309
SEZ;-4.6743;55.5218
SFA;34.718;10.691
SFB;28.7776;-81.2375
SFJ;67.0122;-50.7116
SFO;37.619;-122.375
SGC;61.3437;73.4018
SGN;10.8188;106.652
SHA;31.1979;121.336
SHE;41.6398;123.483
SHJ;25.3286;55.5172
SHO;38.1426;128.599
SID;16.7414;-22.9494
SIN;1.3502;103.994
SIP;45.0522;33.9751
SJC;37.3626;-121.929
SJD;23.1518;-109.721
SJJ;43.8246;18.3315
SJO;9.9939;-84.2088
SJU;18.4394;-66.0018
SJW;38.2807;114.697
SKB;17.3112;-62.7187
SKG;40.5197;22.9709
SKP;41.9616;21.6214
SKT;32.5356;74.3639
SKU;38.9676;24.4872
SLC;40.7884;-111.978
SLL;17.0387;54.0913
SLP;22.2543;-100.931
SMF;38.6954;-121.591
SMI;37.69;26.9117
SNA;33.6757;-117.868
SNN;52.702;-8.9248
SNU;22.4922;-79.9436
SOC;-7.5161;110.757
SOF;42.6967;23.4114
SON;-15.505;167.22
SOU;50.9503;-1.3568
SPC;28.6265;-17.7556
SPN;15.119;145.729
SPU;43.5389;16.298
SRG;-6.9727;110.375
SRQ;27.3954;-82.5544
SSA;-12.9086;-38.3225
SSG;3.7553;8.7087
SSH;27.9773;34.395
STI;19.4061;-70.6047
STL;38.7487;-90.37
STR;48.6899;9.222
STT;18.3373;-64.9734
STV;21.1141;72.7418
STW;45.1092;42.1128
STX;17.7019;-64.7986
SUB;-7.3798;112.787
SUF;38.9054;16.2423
SUV;-18.0433;178.559
SVD;13.1443;-61.2109
SVG;58.8767;5.6378
SVO;55.9726;37.4146
SVQ;37.418;-5.8931
SVX;56.7431;60.8027
SWA;23.552;116.5033
SXB;48.5383;7.6282
SXF;52.38;13.5225
SXM;18.041;-63.1089
SYD;-33.9461;151.177
SYX;18.3029;109.412
SYZ;29.5392;52.5898
SZB;3.1306;101.549
SZF;41.2545;36.5671
SZG;47.7933;13.0043
SZX;22.6393;113.811
SZZ;53.5847;14.9022
TAB;11.1497;-60.8322
TAE;35.8941;128.659
TAG;9.6641;123.853
TAM;22.2964;-97.8659
TAO;36.2661;120.374
TAS;41.2579;69.2812
TAT;49.0736;20.2411
TAY;58.3075;26.6904
TBS;41.6692;44.9547
TBU;-21.2412;-175.15
TBZ;38.1339;46.235
TER;38.7618;-27.0908
TET;-16.1048;33.6402
TFN;28.4827;-16.3415
TFS;28.0445;-16.5725
TGD;42.3594;19.2519
TGU;14.0609;-87.2172
TIA;41.4147;19.7206
TIP;32.6635;13.159
TIV;42.4047;18.7233
TJM;57.1896;65.3243
TKK;7.4619;151.843
TKU;60.5141;22.2628
TLE;-23.3834;43.7285
TLL;59.4133;24.8328
TLM;35.0167;-1.45
TLN;43.0973;6.146
TLS;43.6291;1.3638
TLV;32.0114;34.8867
TMM;-18.1095;49.3925
TMP;61.4141;23.6044
TMS;0.3782;6.7122
TNA;36.8572;117.216
TNG;35.7269;-5.9169
TNR;-18.7969;47.4788
TOE;33.9397;8.1106
TOF;56.3803;85.2083
TOS;69.6833;18.9189
TPA;27.9755;-82.5332
TPE;25.0777;121.233
TPS;37.9114;12.488
TRC;25.5683;-103.411
TRD;63.4578;10.924
TRF;59.1867;10.2586
TRN;45.2008;7.6496
TRS;45.8275;13.4722
TRV;8.4821;76.9201
TRW;1.3816;173.147
TRZ;10.7654;78.7097
TSA;25.0694;121.552
TSE;51.0222;71.4669
TSN;39.1244;117.346
TSR;45.8099;21.3379
TTU;35.5943;-5.32
TUF;47.4322;0.7276
TUK;25.9864;63.0302
TUN;36.851;10.2272
TXL;52.5597;13.2877
TYN;37.7469;112.628
TZL;44.4587;18.7248
TZX;40.9951;39.7897
UAK;61.1605;-45.426
UET;30.2514;66.9378
UFA;54.5575;55.8744
UIO;-0.1292;-78.3575
ULN;47.8431;106.767
ULV;54.2683;48.2267
UME;63.7918;20.2828
UPG;-5.0616;119.554
UPN;19.3967;-102.039
URA;51.1508;51.5431
URC;43.9071;87.4742
URS;51.7506;36.2956
URT;9.1326;99.1356
USM;9.5478;100.062
UTH;17.3864;102.788
UTP;12.6799;101.005
